age,gender,marital_status,education_level,annual_income,monthly_income,employment_status,debt_to_income_ratio,credit_score,loan_amount,loan_purpose,interest_rate,loan_term,installment,grade_subgrade,num_of_open_accounts,total_credit_limit,current_balance,delinquency_history,public_records,num_of_delinquencies,loan_paid_back
59,1,1,2,24240.19,2020.02,0,0.074,743,17173.72,1,13.39,36,581.88,9,7,40833.47,24302.07,1,0,1,1
72,0,1,0,20172.98,1681.08,0,0.219,531,22663.89,2,17.81,60,573.17,25,5,27968.01,10803.01,1,0,3,1
49,0,2,1,26181.8,2181.82,0,0.234,779,3631.36,0,9.53,60,76.32,8,2,15502.25,4505.44,0,0,0,1
35,0,2,1,11873.84,989.49,0,0.264,809,14939.23,6,7.99,36,468.07,4,7,18157.79,5525.63,4,0,5,1
63,2,2,3,25326.44,2110.54,0,0.26,663,16551.71,1,15.2,60,395.5,19,1,17467.56,3593.91,2,0,2,1
28,1,2,1,55559.8,4629.98,0,0.081,774,12724.02,2,12.73,60,287.75,5,3,76147.61,14885.25,0,0,1,1
41,1,2,0,24642.88,2053.57,4,0.165,742,5905.27,1,12.48,36,197.5,7,6,18380.15,12683.33,3,0,3,0
59,0,2,0,52610.69,4384.22,0,0.135,810,15136.35,2,8.45,36,477.47,2,4,75260.33,13768.13,0,0,0,1
39,2,2,1,62922.05,5243.5,0,0.074,724,500.0,4,9.95,36,16.12,13,6,42759.4,15596.93,3,0,4,1
43,0,2,1,53439.89,4453.32,0,0.375,796,14712.38,1,11.81,36,487.33,5,4,40629.06,15965.92,2,0,2,0
31,0,1,1,37067.58,3088.96,2,0.166,722,24847.59,1,15.16,36,863.3,12,3,31600.7,16748.87,1,0,2,1
31,0,1,0,73500.9,6125.08,0,0.17,687,500.0,0,12.82,36,16.8,11,6,77679.01,53010.23,1,0,2,1
44,1,2,2,71284.88,5940.41,0,0.313,738,16352.99,2,10.22,36,529.36,13,2,57020.85,36722.12,0,0,0,1
73,0,1,0,23763.07,1980.26,0,0.272,637,18191.26,4,14.32,36,624.57,18,5,28673.92,4814.55,4,0,4,1
56,0,0,0,21597.98,1799.83,0,0.153,764,14908.25,5,8.5,36,470.62,5,8,30287.45,4164.77,0,0,1,1
60,0,1,0,27877.04,2323.09,3,0.269,618,15819.7,0,12.33,36,527.94,17,4,36113.16,32635.74,6,0,6,0
44,1,3,2,30137.96,2511.5,0,0.059,720,10886.6,4,14.09,36,372.55,10,1,39076.27,4781.56,1,0,1,1
23,1,2,0,73356.57,6113.05,0,0.092,589,28579.38,2,15.89,60,693.33,22,5,102355.5,38663.29,4,0,5,1
